Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurence,Location Type,UCR Literal,UCR #,IBR Code,Neighborhood,NPU,Latitude,Longitude
193350568,12/1/2019,12/1/2019,640,12/1/2019,651,105,,,216 BURBANK DR NW,Day Watch,13,ROBBERY-PEDESTRIAN,327,1299K,Hunter Hills,K,33.76097,-84.42951
193350868,12/1/2019,12/1/2019,1100,12/1/2019,1115,414,,,3730 CARMIA DR SW @PUBLIX - CARMIA,Day Watch,12,LARCENY-NON VEHICLE,630,2303,Princeton Lakes,P,33.65573,-84.5109
193350913,12/1/2019,12/1/2019,1155,12/1/2019,1155,510,,,25 PEACHTREE ST SE,Day Watch,99,LARCENY-NON VEHICLE,630,2303,Downtown,M,33.75445,-84.38954
193351347,12/1/2019,12/1/2019,1610,12/1/2019,1616,609,,,1275 CAROLINE ST NE,Evening Watch,12,LARCENY-NON VEHICLE,630,2303,Edgewood,O,33.75684,-84.3461
193351509,12/1/2019,12/1/2019,1730,12/1/2019,1749,405,,D,3050 MARTIN L KING JR DR SW,Evening Watch,8,LARCENY-NON VEHICLE,630,2303,Harland Terrace,I,33.75237,-84.48653
193351616,12/1/2019,12/1/2019,1851,12/1/2019,1851,210,,,3535 PEACHTREE RD NE @TARGET - PEACHTREE,Evening Watch,99,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.85182,-84.3595
193351740,12/1/2019,12/1/2019,1930,12/1/2019,1935,210,,,3393 PEACHTREE RD NE @LENOX MALL,Evening Watch,8,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.84676,-84.36212
193350094,12/1/2019,12/1/2019,30,12/1/2019,39,405,,,2456 MARTIN L KING JR DR SW,Morning Watch,23,LARCENY-NON VEHICLE,670,2308,Harland Terrace,I,33.75166,-84.46789
193351351,12/1/2019,11/11/2019,0,12/1/2019,1617,413,,,3712 ASBURY LN SW,Evening Watch,20,LARCENY-NON VEHICLE,670,2308,Ben Hill Pines,P,33.68592,-84.50995
193351469,12/1/2019,12/1/2019,1530,12/1/2019,1735,511,,,35 FORSYTH ST SW,Evening Watch,21,LARCENY-NON VEHICLE,670,2308,Downtown,M,33.75387,-84.39261
193351827,12/1/2019,12/1/2019,2000,12/1/2019,2030,106,,B30,1177 JOSEPH E BOONE BLVD NW,Evening Watch,26,LARCENY-NON VEHICLE,670,2308,Bankhead,K,33.7636,-84.42627
193351972,12/1/2019,12/1/2019,2308,12/1/2019,2309,312,,,3556 EMPIRE BLVD SW,Morning Watch,13,ROBBERY-PEDESTRIAN,321,1205K,Glenrose Heights,Z,33.65717,-84.39095
193350600,12/1/2019,12/1/2019,730,12/1/2019,743,604,,5307,180 JACKSON ST NE,Day Watch,20,ROBBERY-PEDESTRIAN,317,1299G,Sweet Auburn,M,33.75932,-84.37442
193350875,12/1/2019,12/1/2019,920,12/1/2019,920,208,,,3315 PEACHTREE RD NE,Day Watch,14,LARCENY-NON VEHICLE,690,2399,Peachtree Park,B,33.84642,-84.36815
193351070,12/1/2019,12/1/2019,200,12/1/2019,600,211,,183,2400 PARKLAND DR NE,Morning Watch,26,LARCENY-NON VEHICLE,690,2399,Lindbergh/Morosgo,B,33.82,-84.3651
193351277,12/1/2019,12/1/2019,1540,12/1/2019,1540,305,,,125 MILTON AVE SE,Evening Watch,29,LARCENY-NON VEHICLE,690,2399,Chosewood Park,Y,33.72157,-84.38505
193351301,12/1/2019,12/1/2019,1544,12/1/2019,1546,106,,,1267 JOSEPH E BOONE BLVD NW,Evening Watch,12,LARCENY-NON VEHICLE,690,2399,Bankhead,K,33.76398,-84.42895
193351316,12/1/2019,11/26/2019,2200,11/27/2019,0,402,,,1420 DONNELLY AVE SW,Morning Watch,20,LARCENY-NON VEHICLE,690,2399,West End,T,33.73724,-84.43417
193351448,12/1/2019,12/1/2019,1312,12/1/2019,1800,206,APT,1117,530 E PACES FERRY RD NE,Day Watch,,LARCENY-NON VEHICLE,690,2399,Buckhead Village,B,33.83873,-84.37044
193351467,12/1/2019,11/30/2019,1400,12/1/2019,1728,607,,,934 MORELAND AVE SE,Evening Watch,20,LARCENY-NON VEHICLE,690,2399,East Atlanta,W,33.72921,-84.34924
193351508,12/1/2019,12/1/2019,1700,12/1/2019,1800,301,,C41,1296 MURPHY AVE SW,Evening Watch,26,LARCENY-NON VEHICLE,690,2399,Capitol View,X,33.71956,-84.42371
193351769,12/1/2019,11/30/2019,1600,12/1/2019,1500,402,,,1348 BEECHER ST SW,Evening Watch,20,LARCENY-NON VEHICLE,690,2399,Oakland City,S,33.73306,-84.4318
193351816,12/1/2019,12/1/2019,1845,12/1/2019,2100,209,,,3655 ROSWELL RD NE,Evening Watch,21,LARCENY-NON VEHICLE,690,2399,North Buckhead,B,33.85547,-84.38135
193351886,12/1/2019,12/1/2019,2150,12/1/2019,2158,505,,,817 W PEACHTREE ST NE @BILTMORE HOTEL,Evening Watch,24,ROBBERY-COMMERCIAL,312,1201,Midtown,E,33.77696,-84.38697
193350019,12/1/2019,11/30/2019,2318,12/1/2019,0,605,,,800 CHEROKEE AVE SE @ATLANTA ZOO,Morning Watch,31,AUTO THEFT,710,2404,Grant Park,W,33.7326,-84.37352
193350707,12/1/2019,11/30/2019,2300,12/1/2019,800,101,,,600 GREENSFERRY AVE SW,Day Watch,,AUTO THEFT,710,2404,The Villages at Castleberry Hill,T,33.74623,-84.40914
193350811,12/1/2019,11/30/2019,1600,12/1/2019,1042,509,,,570 SPRING ST NW,Evening Watch,18,AUTO THEFT,710,2404,Downtown,M,33.77028,-84.38939
193351134,12/1/2019,11/23/2019,1800,11/30/2019,2200,211,,7105,600 GARSON DR NE,Evening Watch,18,AUTO THEFT,710,2404,Lindbergh/Morosgo,B,33.81861,-84.37021
193351901,12/1/2019,12/1/2019,2200,12/1/2019,2205,207,,,1943 PEACHTREE RD NE,Evening Watch,18,AUTO THEFT,710,2404,Brookwood Hills,E,33.80799,-84.39355
